T_max,T_min,t_p,t_start,t_ramp,setback,const_temp,sim_id,file_name
-1,-1,-1,-1,-1,False,25,0,./2004/main_0.idf
29.5,23.5,-0.5,5.48333333333333,0,True,-1,1,./2004/main_1.idf
29,24,-3.5,2.48333333333333,1.25,True,-1,2,./2004/main_2.idf
29.5,24,-1.75,4.23333333333333,0,True,-1,3,./2004/main_3.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,4,./2004/main_4.idf
29.5,24.5,-0.25,5.73333333333333,0,True,-1,5,./2004/main_5.idf
29.5,24,-2,3.98333333333333,1.75,True,-1,6,./2004/main_6.idf
29.5,24,-0.5,5.48333333333333,0,True,-1,7,./2004/main_7.idf
29.5,24,-2,3.98333333333333,0.25,True,-1,8,./2004/main_8.idf
29.5,24,-1,4.98333333333333,0.25,True,-1,9,./2004/main_9.idf
-1,-1,-1,-1,-1,False,26,10,./2004/main_10.idf
29.5,24.5,-0.25,5.73333333333333,0,True,-1,11,./2004/main_11.idf
-1,-1,-1,-1,-1,False,26.5,12,./2004/main_12.idf
29.5,24,0,5.98333333333333,1.25,True,-1,13,./2004/main_13.idf
29.5,24,-3.25,2.73333333333333,0.25,True,-1,14,./2004/main_14.idf
29,24,0,5.98333333333333,0,True,-1,15,./2004/main_15.idf
-1,-1,-1,-1,-1,False,24.5,16,./2004/main_16.idf
29.5,24,-4,1.98333333333333,0,True,-1,17,./2004/main_17.idf
29.5,24,0,5.98333333333333,0,True,-1,18,./2004/main_18.idf
29.5,23.5,-0.25,5.73333333333333,0,True,-1,19,./2004/main_19.idf
29.5,24.5,-1.25,4.73333333333333,1.5,True,-1,20,./2004/main_20.idf
-1,-1,-1,-1,-1,False,24.5,21,./2004/main_21.idf
29.5,24,-3.25,2.73333333333333,0.25,True,-1,22,./2004/main_22.idf
-1,-1,-1,-1,-1,False,26,23,./2004/main_23.idf
30,24,-1.5,4.48333333333333,1.25,True,-1,24,./2004/main_24.idf
-1,-1,-1,-1,-1,False,24.5,25,./2004/main_25.idf
29,24,-1.25,4.73333333333333,0,True,-1,26,./2004/main_26.idf
29.5,24,-0.5,5.48333333333333,1.25,True,-1,27,./2004/main_27.idf
-1,-1,-1,-1,-1,False,21,28,./2004/main_28.idf
-1,-1,-1,-1,-1,False,23.5,29,./2004/main_29.idf
-1,-1,-1,-1,-1,False,24.5,30,./2004/main_30.idf
-1,-1,-1,-1,-1,False,22,31,./2004/main_31.idf
-1,-1,-1,-1,-1,False,24.5,32,./2004/main_32.idf
29,24.5,-0.25,5.73333333333333,0,True,-1,33,./2004/main_33.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,34,./2004/main_34.idf
29.5,24,-0.25,5.73333333333333,0.25,True,-1,35,./2004/main_35.idf
29.5,24,-1,4.98333333333333,0.25,True,-1,36,./2004/main_36.idf
-1,-1,-1,-1,-1,False,22.5,37,./2004/main_37.idf
29.5,24,0,5.98333333333333,0.25,True,-1,38,./2004/main_38.idf
29.5,24,-0.75,5.23333333333333,0.25,True,-1,39,./2004/main_39.idf
29.5,23.5,-0.5,5.48333333333333,0.25,True,-1,40,./2004/main_40.idf
29.5,24,0,5.98333333333333,0,True,-1,41,./2004/main_41.idf
29.5,24,-0.25,5.73333333333333,0.25,True,-1,42,./2004/main_42.idf
-1,-1,-1,-1,-1,False,23,43,./2004/main_43.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,44,./2004/main_44.idf
29.5,24.5,0,5.98333333333333,0.25,True,-1,45,./2004/main_45.idf
29,23.5,0,5.98333333333333,0,True,-1,46,./2004/main_46.idf
29.5,24,0,5.98333333333333,1.25,True,-1,47,./2004/main_47.idf
29.5,24,-0.25,5.73333333333333,2,True,-1,48,./2004/main_48.idf
29.5,24,-0.75,5.23333333333333,0,True,-1,49,./2004/main_49.idf
29.5,23.5,0,5.98333333333333,0,True,-1,50,./2004/main_50.idf
29.5,24,0,5.98333333333333,0.25,True,-1,51,./2004/main_51.idf
29.5,23.5,-1.25,4.73333333333333,0.75,True,-1,52,./2004/main_52.idf
29.5,23.5,-1,4.98333333333333,0,True,-1,53,./2004/main_53.idf
29.5,23.5,-1.25,4.73333333333333,0.25,True,-1,54,./2004/main_54.idf
-1,-1,-1,-1,-1,False,26.5,55,./2004/main_55.idf
29,24,-2.25,3.73333333333333,0,True,-1,56,./2004/main_56.idf
-1,-1,-1,-1,-1,False,22.5,57,./2004/main_57.idf
29.5,24,-1.25,4.73333333333333,0.75,True,-1,58,./2004/main_58.idf
29.5,24,-4.5,1.48333333333333,0,True,-1,59,./2004/main_59.idf
29.5,24,-0.75,5.23333333333333,0,True,-1,60,./2004/main_60.idf
-1,-1,-1,-1,-1,False,21.5,61,./2004/main_61.idf
29.5,24,0,5.98333333333333,0,True,-1,62,./2004/main_62.idf
29.5,23.5,-1.75,4.23333333333333,0,True,-1,63,./2004/main_63.idf
29.5,24,-3,2.98333333333333,0,True,-1,64,./2004/main_64.idf
29.5,24,-1,4.98333333333333,0.25,True,-1,65,./2004/main_65.idf
29.5,24.5,-3.5,2.48333333333333,0,True,-1,66,./2004/main_66.idf
29.5,23.5,-1.25,4.73333333333333,0.25,True,-1,67,./2004/main_67.idf
29.5,24,-1,4.98333333333333,0,True,-1,68,./2004/main_68.idf
