T_max,T_min,t_p,t_start,t_ramp,setback,const_temp,sim_id,file_name
-1,-1,-1,-1,-1,False,22,0,./2004/electric_0.idf
21,14.5,-0.5,5.48333333333333,0,True,-1,1,./2004/electric_1.idf
20,16,-3.5,2.48333333333333,1.5,True,-1,2,./2004/electric_2.idf
21.5,16,-1.75,4.23333333333333,0,True,-1,3,./2004/electric_3.idf
21.5,16,-0.25,5.73333333333333,0,True,-1,4,./2004/electric_4.idf
21,16.5,-0.25,5.73333333333333,0,True,-1,5,./2004/electric_5.idf
21,15.5,-2,3.98333333333333,1.75,True,-1,6,./2004/electric_6.idf
21.5,15.5,-0.5,5.48333333333333,0,True,-1,7,./2004/electric_7.idf
21.5,16,-2,3.98333333333333,0.25,True,-1,8,./2004/electric_8.idf
21.5,15.5,-1,4.98333333333333,0.25,True,-1,9,./2004/electric_9.idf
-1,-1,-1,-1,-1,False,23,10,./2004/electric_10.idf
21.5,17,-0.25,5.73333333333333,0,True,-1,11,./2004/electric_11.idf
-1,-1,-1,-1,-1,False,23.5,12,./2004/electric_12.idf
21,15.5,0,5.98333333333333,1.5,True,-1,13,./2004/electric_13.idf
21,16,-3.25,2.73333333333333,0.25,True,-1,14,./2004/electric_14.idf
20,16,0,5.98333333333333,0.25,True,-1,15,./2004/electric_15.idf
-1,-1,-1,-1,-1,False,21.5,16,./2004/electric_16.idf
21.5,15.5,-4,1.98333333333333,0,True,-1,17,./2004/electric_17.idf
20.5,15.5,0,5.98333333333333,0,True,-1,18,./2004/electric_18.idf
20.5,15,-0.25,5.73333333333333,0,True,-1,19,./2004/electric_19.idf
21.5,17,-1.25,4.73333333333333,2,True,-1,20,./2004/electric_20.idf
-1,-1,-1,-1,-1,False,21.5,21,./2004/electric_21.idf
21,15.5,-3.25,2.73333333333333,0.25,True,-1,22,./2004/electric_22.idf
-1,-1,-1,-1,-1,False,23,23,./2004/electric_23.idf
22,16,-1.5,4.48333333333333,1.25,True,-1,24,./2004/electric_24.idf
-1,-1,-1,-1,-1,False,21.5,25,./2004/electric_25.idf
20,16.5,-1.25,4.73333333333333,0.25,True,-1,26,./2004/electric_26.idf
21.5,15.5,-0.5,5.48333333333333,1.25,True,-1,27,./2004/electric_27.idf
-1,-1,-1,-1,-1,False,18,28,./2004/electric_28.idf
-1,-1,-1,-1,-1,False,20.5,29,./2004/electric_29.idf
-1,-1,-1,-1,-1,False,21.5,30,./2004/electric_30.idf
-1,-1,-1,-1,-1,False,19,31,./2004/electric_31.idf
-1,-1,-1,-1,-1,False,21.5,32,./2004/electric_32.idf
20.5,16.5,-0.25,5.73333333333333,0,True,-1,33,./2004/electric_33.idf
21.5,15.5,-0.25,5.73333333333333,0,True,-1,34,./2004/electric_34.idf
21,15.5,-0.25,5.73333333333333,0.25,True,-1,35,./2004/electric_35.idf
21.5,16.5,-1,4.98333333333333,0.5,True,-1,36,./2004/electric_36.idf
-1,-1,-1,-1,-1,False,19.5,37,./2004/electric_37.idf
21,15.5,0,5.98333333333333,0.25,True,-1,38,./2004/electric_38.idf
20.5,15.5,-0.75,5.23333333333333,0.25,True,-1,39,./2004/electric_39.idf
